S. N.	Gyalsamdo Transcription	Gloss in English	Gloss in Nepali	Possible Tone 
109	[atɕi]	Older sister	दिदी	Mid
110	[numu]	Younger sister	बहिनी	Low-Rise
111	[pitsa]	Son	छोरो	Low-Rise
112	[pomo]	Daughter	छोरी	
113	[kʰjoka]/[kʰjoɡa]	Husband	लोग्ने (श्रीमान)	Mid
114	[keɹme]	Wife	स्वास्नी (श्रीमती)	Mid
115	[pitsa]/[pu]	Boy	केटो	Low-Rise/Mid-Rise
116	[pomo]	Girl	केटी	
117	[ɕjaŋma]	Day	दिन	Low-Rise
118	[tsʰemu]	Night	रात	Mid-High
119	[namʑen]	Morning	विहान	Low-Rise
120	[ɲimaɡuŋ]	Noon	मध्यान्ह	
121	[kɔŋmo]	Evening	साँझ	Low-Rise
122	[t̪aŋ]	Yesterday	हिजो	Low-Rise
123	[t̪iɹiŋ]	Today	आज	Low-Rise
124	[ŋato]	Tomorrow	भोली	Mid-High
125	[t̪ynta]/[t̪ynzi]	Week	हप्ता (साता)	Low-Rise
126	[t̪awa]	Month	महिना	Low-Rise
127	[lo]	Year	वर्ष	Low-Rise
128	[ɲiŋpa]	Old	पुरानो	High
129	[sampa]	New	नयाँ	Mid-High
130	[jabu]	Good	राम्रो (असल)	Low-Rise
131	[majabu]	Bad	नराम्रो (खराव)	
132	[taŋmu]	Wet	चिसो	Low-Rise
133	[kəmpu]	Dry	सुख्खा	High
134	[ɹiŋbu]	Long	लामो	Low-Rise
135	[t̪øma]	Short	छोटो	High
136	[tsʰant̪i]	Hot	तातो	High
137	[taŋmu]	Cold	चिसो	
138	[jøba]	Right	दाहिने	Mid-High
139	[jøma]	Left	देव्रे	Mid-High
140	[ɲemu]	Near	नजिक	Low-Rise
141	[t̪ʰaɹiŋbu]	Far	टाढा	
142	[tɕʰjumbu]	Big	ठुलो	High
143	[tɕema]	Small	सानो	High
144	[tɕent̪i]	Heavy	गह्रौँ	High
145	[jaŋmu]	Light	हलुका	Low-Rise
146	[ɲala]	Above	माथि	High
147	[wala]	Below	तल	Low-Rise
148	[kaɹpu]	White	सेतो	High 
149	[nakpu]	Black	कालो	Low-Rise
150	[maɹpu]	Red	रातो	High
151	[tɕiɡ]	One	एक	High
152	[ɲi]	Two	दुई	High
153	[sum]	Three	तीन	High
154	[ɕi]	Four	चार	Mid
155	[ŋa]	Five	पाँच	High 
156	[tuk]/[tʰuk]	Six	छ	Mid-High 
157	[t̪yn]	Seven	सात	Low-Rise
158	[ke]	Eight	आठ	Low-Rise
159	[ku]	Nine	नौ	Mid
160	[tɕu]	Ten	दश	High
161	[tɕuktɕik]	Eleven	एघार	
162	[tɕuɲi]	Twelve	बाह्र	
163	[ɲiɕu]	Twenty	वीस	
164	[kja]	One Hundred	एक सय	Mid-High
165	[su]	Who	को	High-Fall
166	[tɕi]	What	के	High
167	[kəɹu]	Where	कहाँ	Mid-Rise
168	[nam]	When	कहिले	Low-Rise
169	[katse]	How many	कति	Low-Rise
170	[kand̪i]	Which	कुन	Low-Rise
171	[t̪i]	This 	यो	Mid-Rise
172	[ot̪i]	That	त्यो	
173	[t̪ija]	These	यी	
174	[kʰuŋja]	Those	ती	
175	[ot̪iɹaŋ]/[od̪iɹaŋ]/[taɡe]	Same	उही	
176	[mendaɡe]	Different	फरक	
177	[t̪aɡɹaŋ]	Whole	सबै	Low-Rise
178	[tɕʰjakpu]	Broken	फुटेको	High
179	[ɲuŋe]	Few	थोरै	Low-Rise
180	[maŋbu]	Many	धेरै	Low-Rise
181	[t̪aɡɹaŋ]	All	सबै	
182	[se]	To eat	खानु	Low-Rise
183	[ale]/[soɡjapb]	To bite	टोक्नु	Mid-High
184	[t̪oɡɛ]	To be hungry	भोकाउनु	High
185	[t̪ʰuŋ]	To drink	पिउनु	High
186	[kʰakomkɛ]	To be thirsty	तिर्खाउनु	
187	[ɲal]	To sleep	सुत्नु	Low-Rise
188	[tʰelaɲal]	To lie	पल्टनु	
189	[t̪e]	To sit	बस्नु	Mid-High
190	[t̪eɹ]	To give	दिनु	High
191	[takɛ]	To burn	डढाउनु	Low-Rise
192	[ɕi]	To die	मर्नु	High
193	[se]	To kill	मार्नु	High
194	[pʰiɹ]	To fly	उड्नु	High
195	[kju]	To walk	हिँड्नु	Mid-Rise
196	[t̪aɹkjulaŋ]	To run	दौडिनु	
197	[to]	To go	जानु	Mid-Rise
198	[ɕjo]/[oŋ]	To come	आउनु	High/Low-Rise
199	[labt̪aŋɡɛ]	To speak	बोल्नु	
200	[ɲin]	To hear/listen	सुन्नु	Low-Rise
201	[t̪e]	To look	हेर्नु	High
202	[ŋa]	I	म	Mid
203	[kʰe]	You (informal)	तँ	High
204	[kʰela]/[kʰeɹaŋ]	You (formal)	तपाइँ	
205	[kʰo]	He	उ	High
206	[mo]	She	उनी	
207	[ɲi]/[ɲija]/[ɲiɹaŋ]	We (inclusive)	हामी (समावेशी)	
208	[oɹaŋ]	We (exclusive)	हामी (असमावेशी)	Low-Rise
209	[kʰija]	You (plural)	तिमीहरु	
210	[kʰuŋja]	They	उनीहरु	
211	[kʰuɹpu]	Load	भारी	High
212	[tsampa]	Flour (eaten as food)	पिठो	High
213	[seɹa]	Hailstone	असिना	High
214	[kjuma]/[kʰjuma]	Intestine	आन्द्रा	Mid
215	[kɔɹtsa]	Yard	आँगन	Low-Rise
216	[pi]	To uproot	उखेल्नु	High
217	[t̪ʰab]	Oven	चुल्हो	High
218	[t̪iŋpa]	Heel	कुर्कुच्चो	High
219	[t̪oktsi]	Spade	कोदालो	High
220	[t̪abu]	Horse	घोडा	High
221	[kʰurpu]	Load	भारी	High
222	[møkɛ	To plough	जोत्नु	
223	[kamkja]	Bond	तमसुक	Low-Rise
224	[kuŋkju]	Beam (main wooden beam)	निदाल	Low-Rise
225	[t̪ʰakpa]	Rope used to tie animals	दाम्लो	
226	[kja]	Bread	दाह्री	Mid-High
227	[t̪apkɛ]	To measure	नाप्नु	Low-Rise
228	[t̪al]	Plank	फल्याक	High
229	[miksaŋ]	Hole	प्वाल	Mid-High
230	[t̪ʰoŋpa]	Plough (noun)	हलो	Mid-High
231	[kʰəptɕu]	Lid (cover)	बिर्को	High
232	[juwa]	Handle	बिँड	Low-Rise
233	[t̪om]	Bear	भालु	Mid
234	[nøpa]	Ghost	भुत	Mid-High
235	[ly]	Manure	मल	Low-Rise
236	[kjaŋ]	Bread	रोटी	Low-Rise
237	[ɹo]	Corpse	लास	Low-Rise
238	[pʰakpa]	Pig	सुँगुर	High
239	[tʰu]	Grains	अन्न	High 
240	[kjukpa]	Stick	लठ्ठी	Low-Rise
241	[ŋulna]	Sweat	पसिना	High
242	[leke]	To chew	चपाउनु	High
243	[mikɛ]	To swallow	निल्नु	Low-Rise
244	[jukɛ]/[juɹkɛ]	To throw	फ्याँक्नु	Mid
